muon_pt,muon_eta,muon_phi,antimuon_pt,antimuon_eta,antimuon_phi,delta_eta,delta_phi,delta_R,label
44.824753,-3.2601888,1.2421647,36.83142,-1.987802,-1.7772455,1.2723868,3.0194104,3.276554,1
42.10373,-3.217168,1.1839144,44.77659,-2.6386476,-1.8866724,0.57852054,3.0705864,3.12461,1
73.376236,2.8378358,-0.387064,31.700462,2.2598898,-2.8341212,0.57794595,2.447057,2.5143807,1
70.574844,-0.67268866,1.3455993,25.459597,-1.657596,-0.95172757,0.9849073,2.2973268,2.4995506,1
46.94604,1.4649825,-2.3984916,42.601,1.8085965,0.96647596,0.34361398,2.918218,2.9383783,1
35.49648,-1.9480064,1.0299358,41.856583,-0.9053433,-1.8137444,1.0426631,2.8436806,3.028806,1
31.70916,1.7800876,0.63593763,31.659704,3.5116272,-2.501474,1.7315396,3.1374114,3.583515,1
48.613632,-1.8637714,2.8882236,42.319305,-1.7792218,-0.29312426,0.084549665,3.1018374,3.1029894,1
42.608883,3.8171723,1.8462117,29.474741,2.2758238,-1.8281574,1.5413485,2.6088164,3.0301282,1
114.1902,-3.178804,-2.050499,33.491306,-2.9071908,-0.42675066,0.27161312,1.6237483,1.6463087,1
38.685337,4.3015857,-1.3612576,30.395063,2.701588,1.3877133,1.5999978,2.748971,3.1806972,1
30.329672,0.850414,0.39138946,35.66955,3.055978,0.78254014,2.205564,0.3911507,2.2399802,1
40.915367,0.028674409,2.606169,47.850445,-0.49416518,-0.28826323,0.5228396,2.8944323,2.9412751,1
36.011818,-3.893683,-0.8592671,26.446898,-1.8775289,1.2861557,2.016154,2.145423,2.9440987,1
39.20951,1.1389542,2.2781162,45.027863,0.40214846,-0.88559055,0.7368057,3.1194785,3.2053125,1
57.502632,2.7731435,1.2247814,37.867268,2.179567,-1.1949599,0.59357643,2.419741,2.4914813,1
44.08814,-1.2745177,-1.3152466,34.366398,-2.566106,1.9229709,1.2915884,3.044968,3.3075716,1
29.976168,-3.946008,2.0976083,33.756405,-2.0171154,-1.1590459,1.9288926,3.0265315,3.5889442,1
46.181282,-1.9610944,-2.1191735,39.654755,-1.2539985,0.86460066,0.70709586,2.9837742,3.0664136,1
49.026737,2.9468193,2.0836365,43.41892,3.261754,-1.0495669,0.31493473,3.1332037,3.1489918,1
46.740467,-2.0697045,0.88004506,28.919504,-3.14671,-2.27333,1.0770054,3.1298106,3.3099327,1
43.170185,-2.5432458,-1.508586,43.103256,-1.9739984,1.7888346,0.56924736,2.9857647,3.0395448,1
36.47846,-1.8282746,1.3709024,41.785637,-2.913328,-1.856398,1.0850533,3.055885,3.2428033,1
51.78228,-1.6167434,2.4980452,56.1428,-1.0960524,-0.88534606,0.52069104,2.8997939,2.946171,0
43.687714,-3.8274577,-1.688717,47.61164,-3.787464,1.4005827,0.039993763,3.0892997,3.0895586,1
38.811573,-0.23980224,2.1498876,55.22804,-0.35811448,-1.3573942,0.11831224,2.775904,2.778424,1
35.796474,-0.3885557,-1.2458975,38.82741,0.9361917,1.9596094,1.3247473,3.077679,3.350681,1
76.83015,-3.1264248,2.5179875,26.82964,-2.3486261,0.33722213,0.77779865,2.1807654,2.3153205,1
